step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.4,0.66332495807108,0.08452175557613373,-0.08094753324985504,0.08094753324985504,0.0013574825134128332,0.002216741908341646,-0.059923648834228516,0.10697624832391739,0,5,iqlearn,CartPole-v1
500,86.2,38.05469747613296,-24.86978530883789,0.2473529577255249,-0.2473529577255249,-27.10442352294922,2.4819908142089844,-0.19374147057533264,13.89830493927002,0,5,iqlearn,CartPole-v1
1000,200.9,178.17151848710276,-13.913601875305176,0.02879270166158676,-0.02879270166158676,-24.114187240600586,10.229378700256348,-0.6733323335647583,87.43550872802734,0,5,iqlearn,CartPole-v1
1500,294.1,206.46861747006494,0.6277952194213867,0.1022980660200119,-0.1022980660200119,-13.171443939208984,13.90153694152832,-2.075505495071411,33.10731506347656,0,5,iqlearn,CartPole-v1
2000,329.8,198.43124753929257,-61.540863037109375,-0.1275157332420349,0.1275157332420349,-65.39283752441406,3.7244582176208496,-3.9252965450286865,45.934852600097656,0,5,iqlearn,CartPole-v1
2500,331.4,181.20717425091095,-6.184283256530762,-0.8828217387199402,0.8828217387199402,-9.762621879577637,2.695516586303711,-5.042874336242676,63.651004791259766,0,5,iqlearn,CartPole-v1
3000,371.7,196.18055459193707,72.08966827392578,1.6764490604400635,-1.6764490604400635,-57.11783981323242,130.8839569091797,-4.670516490936279,83.17190551757812,0,5,iqlearn,CartPole-v1
3500,372.0,195.72276311149912,87.00708770751953,1.7790852785110474,-1.7790852785110474,-5.980673789978027,94.766845703125,-4.441091537475586,104.36087036132812,0,5,iqlearn,CartPole-v1
4000,336.1,201.27118522033896,57.62358474731445,0.5703692436218262,-0.5703692436218262,-22.159103393554688,80.35305786132812,-3.4228827953338623,138.4948272705078,0,5,iqlearn,CartPole-v1
4500,335.7,201.75780034486894,82.44331359863281,1.72609281539917,-1.72609281539917,-24.635765075683594,108.80517578125,-1.2794495820999146,162.04537963867188,0,5,iqlearn,CartPole-v1
5000,330.9,198.91578620109567,15.359260559082031,-0.7436440587043762,0.7436440587043762,-99.85559844970703,114.4712142944336,-6.197211742401123,419.27423095703125,0,5,iqlearn,CartPole-v1
5500,335.5,202.0407137187948,52.6512451171875,-1.54102623462677,1.54102623462677,-63.50931167602539,114.6195297241211,-8.099905014038086,429.5231628417969,0,5,iqlearn,CartPole-v1
6000,371.9,195.88642117308692,-34.957115173339844,-0.5560859441757202,0.5560859441757202,-41.73093795776367,6.217733383178711,-5.399087905883789,225.0300750732422,0,5,iqlearn,CartPole-v1
6500,375.3,191.0366718721827,996.0071411132812,1.3970057964324951,-1.3970057964324951,-3.902151584625244,1001.3062744140625,-13.396739959716797,315.3157653808594,0,5,iqlearn,CartPole-v1
7000,375.3,191.0366718721827,-130.37142944335938,-3.1946887969970703,3.1946887969970703,-148.48980712890625,14.923686027526855,-9.152156829833984,311.2137451171875,0,5,iqlearn,CartPole-v1
7500,335.2,202.3846832149113,98.49254608154297,-0.26925820112228394,0.26925820112228394,-9.048089981079102,107.27137756347656,-14.971840858459473,452.755615234375,0,5,iqlearn,CartPole-v1
8000,335.5,202.0407137187948,1604.27294921875,6.044772148132324,-6.044772148132324,-83.77645874023438,1694.09423828125,-14.717094421386719,519.3795166015625,0,5,iqlearn,CartPole-v1
8500,335.5,202.0407137187948,-56.22871017456055,-0.5601954460144043,0.5601954460144043,-81.02249908447266,24.233592987060547,3.6415576934814453,529.8367919921875,0,5,iqlearn,CartPole-v1
9000,335.3,202.2696467589737,-168.85159301757812,-1.9383971691131592,1.9383971691131592,-270.16131591796875,99.371337890625,-2.661457061767578,729.1744995117188,0,5,iqlearn,CartPole-v1
9500,332.1,206.02109115330887,29.409343719482422,-0.03685480356216431,0.03685480356216431,3.576099395751953,25.796390533447266,7.1369309425354,704.4157104492188,0,5,iqlearn,CartPole-v1
10000,332.1,206.02109115330887,51.15492630004883,-1.9139823913574219,1.9139823913574219,-43.30670928955078,92.54765319824219,4.829281330108643,923.9353637695312,0,5,iqlearn,CartPole-v1
10500,332.0,206.1441243402295,-8.067337036132812,2.120602607727051,-2.120602607727051,-185.59121704101562,179.6444854736328,8.520591735839844,938.1156005859375,0,5,iqlearn,CartPole-v1
