step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.6,0.4898979485566356,0.10953273624181747,-0.09822764247655869,0.09822764247655869,0.00730883190408349,0.003996260464191437,-0.030719807371497154,0.10734511911869049,1,5,iqlearn,CartPole-v1
500,65.7,12.759702190882043,-15.137889862060547,-0.5109989643096924,0.5109989643096924,-18.070863723754883,2.4219744205474854,-1.1658793687820435,11.763029098510742,1,5,iqlearn,CartPole-v1
1000,153.9,82.48084626141998,-46.20823669433594,0.2529509365558624,-0.2529509365558624,-49.599544525146484,3.644258499145508,-2.647153854370117,28.384815216064453,1,5,iqlearn,CartPole-v1
1500,179.0,84.69002302514741,-26.575801849365234,-0.04753095656633377,0.04753095656633377,-29.890880584716797,3.2675466537475586,-5.911886215209961,48.884544372558594,1,5,iqlearn,CartPole-v1
2000,186.8,91.29819275319747,-76.51055145263672,-0.29426610469818115,0.29426610469818115,-81.11156463623047,4.306748390197754,-7.452861309051514,76.03466033935547,1,5,iqlearn,CartPole-v1
2500,208.8,94.61268413907302,-79.91434478759766,0.3887815475463867,-0.3887815475463867,-83.62371826171875,4.098153114318848,-8.543390274047852,91.7994384765625,1,5,iqlearn,CartPole-v1
3000,225.7,118.11185376582657,29.988372802734375,0.9541301727294922,-0.9541301727294922,-31.771060943603516,62.71356201171875,-9.323973655700684,109.61371612548828,1,5,iqlearn,CartPole-v1
3500,254.2,177.09421221485474,6.431196212768555,-0.8763759136199951,0.8763759136199951,-5.411654472351074,10.966474533081055,-9.241881370544434,145.13136291503906,1,5,iqlearn,CartPole-v1
4000,243.1,195.07816382158202,62.50553894042969,0.5043872594833374,-0.5043872594833374,-63.502498626708984,126.5124282836914,-8.605539321899414,173.64468383789062,1,5,iqlearn,CartPole-v1
4500,267.3,186.23750964829827,-85.44989776611328,-1.428459882736206,1.428459882736206,-103.93130493164062,17.052947998046875,-12.003674507141113,201.90200805664062,1,5,iqlearn,CartPole-v1
5000,172.4,166.67405316965207,-125.3455581665039,-0.23399922251701355,0.23399922251701355,-150.83111572265625,25.251564025878906,-1.6556577682495117,205.1990203857422,1,5,iqlearn,CartPole-v1
5500,119.2,68.8618907669547,-112.05917358398438,-1.3810741901397705,1.3810741901397705,-138.12454223632812,24.68429183959961,-8.464293479919434,171.64280700683594,1,5,iqlearn,CartPole-v1
6000,113.6,90.5927149388956,-264.8319091796875,1.070289134979248,-1.070289134979248,-285.5341491699219,21.772523880004883,-2.8515877723693848,184.8531494140625,1,5,iqlearn,CartPole-v1
6500,91.4,68.66614886536159,-288.74822998046875,-1.463183879852295,1.463183879852295,-308.0034484863281,17.792009353637695,-1.544352412223816,208.04733276367188,1,5,iqlearn,CartPole-v1
7000,93.8,68.09375889169286,-54.07757568359375,1.359436273574829,-1.359436273574829,-68.69530487060547,15.977167129516602,4.385818958282471,196.81488037109375,1,5,iqlearn,CartPole-v1
7500,93.8,79.43777438977,-25.08214569091797,0.6944109797477722,-0.6944109797477722,-61.534019470214844,37.14628601074219,6.062473773956299,243.8667755126953,1,5,iqlearn,CartPole-v1
8000,98.9,69.27257754696299,122.54736328125,0.32639098167419434,-0.32639098167419434,92.12183380126953,30.751922607421875,13.07631778717041,265.49908447265625,1,5,iqlearn,CartPole-v1
8500,106.6,104.54874461226208,-266.1726989746094,0.6959341168403625,-0.6959341168403625,-292.87701416015625,27.400226593017578,23.734336853027344,288.94488525390625,1,5,iqlearn,CartPole-v1
