step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.2,0.6,0.10229238122701645,-0.09516367316246033,0.09516367316246033,0.00233991676941514,0.004788790829479694,-0.049498990178108215,0.14869791269302368,1,20,iqlearn,CartPole-v1
500,69.7,46.57048421478996,-20.381763458251953,-0.12209368497133255,0.12209368497133255,-23.27082633972168,2.766970157623291,-0.4476335346698761,12.898482322692871,1,20,iqlearn,CartPole-v1
1000,159.8,160.83706040586543,-41.216590881347656,-0.20000237226486206,0.20000237226486206,-45.625431060791016,4.2088398933410645,-1.4715945720672607,28.113283157348633,1,20,iqlearn,CartPole-v1
1500,193.3,131.55991030705366,-50.47652816772461,-0.3634282648563385,0.3634282648563385,-55.12664794921875,4.2866902351379395,-1.510439157485962,39.13086700439453,1,20,iqlearn,CartPole-v1
2000,174.9,123.00849564156128,-38.27058792114258,-0.587584912776947,0.587584912776947,-42.74559783935547,3.887422800064087,-2.966111183166504,57.31859588623047,1,20,iqlearn,CartPole-v1
2500,202.9,144.199479888105,-40.062889099121094,-0.5190633535385132,0.5190633535385132,-45.719200134277344,5.1372504234313965,-4.758299350738525,70.07974243164062,1,20,iqlearn,CartPole-v1
3000,181.8,181.11035309998155,2.4024534225463867,0.79969322681427,-0.79969322681427,-2.8187694549560547,6.020915985107422,-4.307575225830078,81.70743560791016,1,20,iqlearn,CartPole-v1
3500,144.2,139.9862850424998,-35.44802474975586,0.5356510877609253,-0.5356510877609253,-46.71308898925781,11.800715446472168,-4.346639156341553,100.11986541748047,1,20,iqlearn,CartPole-v1
4000,126.5,111.3079062780358,428.1603088378906,3.299880266189575,-3.299880266189575,-75.7602767944336,507.220458984375,-3.8065876960754395,137.5404510498047,1,20,iqlearn,CartPole-v1
4500,70.4,32.8609190376654,41.112152099609375,0.6629738807678223,-0.6629738807678223,36.16803741455078,5.607089042663574,-1.957101583480835,148.59869384765625,1,20,iqlearn,CartPole-v1
5000,70.4,32.42283146179556,-42.87528991699219,-0.8165847063064575,0.8165847063064575,-65.41340637207031,21.721534729003906,-5.850406169891357,196.03184509277344,1,20,iqlearn,CartPole-v1
5500,68.5,34.73686802231888,680.0045166015625,-2.939093589782715,2.939093589782715,-282.2140197753906,959.2794189453125,-1.0057120323181152,1171.3790283203125,1,20,iqlearn,CartPole-v1
6000,67.1,32.34331461059611,0.26799774169921875,-1.101207971572876,1.101207971572876,-57.74770736694336,56.91449737548828,-5.034869194030762,259.9993591308594,1,20,iqlearn,CartPole-v1
6500,77.2,50.940749896325634,-107.37040710449219,1.117926836013794,-1.117926836013794,-130.8955078125,24.643016815185547,5.241604804992676,273.8768005371094,1,20,iqlearn,CartPole-v1
