step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,26.1,2.4269322199023193,0.07647138088941574,-0.07259148359298706,0.07259148359298706,0.001954080304130912,0.0019258211832493544,0.00045157503336668015,0.09708811342716217,2,20,iqlearn,CartPole-v1
500,217.9,134.45404419354594,-20.485736846923828,-0.3179427981376648,0.3179427981376648,-22.954750061035156,2.1510696411132812,-0.6682417988777161,10.037428855895996,2,20,iqlearn,CartPole-v1
1000,269.6,132.40181267641316,-18.010986328125,-0.7428958415985107,0.7428958415985107,-22.640865325927734,3.8869833946228027,-1.8532028198242188,23.612205505371094,2,20,iqlearn,CartPole-v1
1500,272.0,137.21515951235125,-10.202533721923828,0.32190966606140137,-0.32190966606140137,-14.143404006958008,4.26278018951416,-1.6540358066558838,34.37387466430664,2,20,iqlearn,CartPole-v1
2000,258.1,116.90034217229649,-19.39215850830078,-0.3597019612789154,0.3597019612789154,-24.161331176757812,4.409472465515137,-3.448796510696411,47.73999786376953,2,20,iqlearn,CartPole-v1
2500,249.4,103.23294047928694,-66.18536376953125,0.3243929445743561,-0.3243929445743561,-80.50733184814453,14.646366119384766,-4.208449363708496,47.538002014160156,2,20,iqlearn,CartPole-v1
3000,267.1,114.68430581382964,-47.84504699707031,0.9850255250930786,-0.9850255250930786,-50.213417053222656,3.353396415710449,-5.186724662780762,55.61711120605469,2,20,iqlearn,CartPole-v1
3500,315.0,198.2987644943861,15.827072143554688,1.0562559366226196,-1.0562559366226196,-77.88272094726562,94.76605224609375,-4.918012619018555,52.95100402832031,2,20,iqlearn,CartPole-v1
4000,317.2,159.68519029640788,-43.11582565307617,0.36886996030807495,-0.36886996030807495,-47.81416702270508,5.0672125816345215,-4.554551124572754,59.3817253112793,2,20,iqlearn,CartPole-v1
4500,329.1,209.7286103515684,-137.49313354492188,0.2687585949897766,-0.2687585949897766,-195.4718475341797,58.247474670410156,-5.010128021240234,85.34786224365234,2,20,iqlearn,CartPole-v1
5000,355.6,182.84430535294226,-82.80004119873047,-1.1550700664520264,1.1550700664520264,-92.6916275024414,8.736520767211914,-9.050846099853516,110.81138610839844,2,20,iqlearn,CartPole-v1
5500,337.8,198.967233483305,3.9645614624023438,-0.42224234342575073,0.42224234342575073,-78.2318115234375,81.77413177490234,-8.645532608032227,402.2967834472656,2,20,iqlearn,CartPole-v1
6000,326.5,207.10685647751984,16.410642623901367,0.5291181802749634,-0.5291181802749634,5.772272109985352,11.167489051818848,-8.335297584533691,169.35787963867188,2,20,iqlearn,CartPole-v1
6500,347.8,179.55099554165662,106.38911437988281,-1.3737943172454834,1.3737943172454834,-28.093318939208984,133.108642578125,-4.943373203277588,527.293701171875,2,20,iqlearn,CartPole-v1
7000,343.5,178.04002359020288,2391.11865234375,-1.0746212005615234,1.0746212005615234,-113.77799987792969,2503.822021484375,-11.627641677856445,1497.66455078125,2,20,iqlearn,CartPole-v1
7500,321.4,204.57282321950782,413.33868408203125,-3.1323459148406982,3.1323459148406982,-85.59979248046875,495.8061218261719,-8.72021770477295,1016.3062744140625,2,20,iqlearn,CartPole-v1
8000,318.1,202.15016695516232,-238.82931518554688,-1.14565110206604,1.14565110206604,-281.40521240234375,41.430233001708984,-3.718975782394409,405.880615234375,2,20,iqlearn,CartPole-v1
8500,335.6,187.89475777679377,-23.916656494140625,-0.16631096601486206,0.16631096601486206,-84.9179916381836,60.83502197265625,-2.5720553398132324,374.5571594238281,2,20,iqlearn,CartPole-v1
9000,320.1,203.64893812637473,1587.3963623046875,-5.398055553436279,5.398055553436279,-201.07568359375,1783.073974609375,-1.855391025543213,1892.134521484375,2,20,iqlearn,CartPole-v1
