env_id,algorithm,dataset_size,best_return_mean,best_return_std,best_return_min,best_return_max,final_return_mean,final_return_std,seeds
CartPole-v1,iqlearn,1,204.73333333333335,111.57994144707789,104.4,324.9,81.03333333333335,64.83689793114206,3
CartPole-v1,iqlearn,5,337.6666666666667,60.988550838114946,267.3,375.3,154.06666666666666,159.58525412247002,3
CartPole-v1,iqlearn,10,319.93333333333334,139.02770707068908,178.3,456.2,190.5,184.3585907952217,3
CartPole-v1,iqlearn,20,248.73333333333335,92.86077392167984,187.7,355.6,185.9,123.44144360789046,3
