step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.2,0.6,0.07721414417028427,-0.07513180375099182,0.07513180375099182,0.00037062622141093016,0.0017117123352363706,-0.05191735178232193,0.0760779082775116,1,10,iqlearn,CartPole-v1
500,172.8,130.31101258143917,-23.4919490814209,0.17532983422279358,-0.17532983422279358,-25.74779510498047,2.4311747550964355,-0.2004193663597107,10.324710845947266,1,10,iqlearn,CartPole-v1
1000,197.5,159.23708738858545,-50.86618423461914,-0.2617746591567993,0.2617746591567993,-55.666259765625,4.538299560546875,-0.9699552655220032,18.066984176635742,1,10,iqlearn,CartPole-v1
1500,270.9,128.3,-86.43173217773438,0.09695783257484436,-0.09695783257484436,-91.18782043457031,4.853041648864746,-0.21543948352336884,38.72047424316406,1,10,iqlearn,CartPole-v1
2000,325.3,169.41018269277677,-30.668617248535156,0.1473381668329239,-0.1473381668329239,-36.75861358642578,6.237334251403809,-1.7062420845031738,37.70634841918945,1,10,iqlearn,CartPole-v1
2500,256.3,150.90530143106304,-72.75174713134766,1.1767399311065674,-1.1767399311065674,-76.991943359375,5.4169416427612305,0.3763180077075958,33.503211975097656,1,10,iqlearn,CartPole-v1
3000,313.2,173.74510065034926,225.5994415283203,-1.6489410400390625,1.6489410400390625,-28.443025588989258,252.39352416992188,-3.7109780311584473,488.7348327636719,1,10,iqlearn,CartPole-v1
3500,200.7,196.42456567344115,-122.17354583740234,0.050904348492622375,-0.050904348492622375,-133.91592407226562,11.793283462524414,-2.765028476715088,63.35091781616211,1,10,iqlearn,CartPole-v1
4000,108.6,131.41248038143104,-135.89480590820312,-1.6797982454299927,1.6797982454299927,-152.50198364257812,14.927388191223145,-2.430537700653076,130.61102294921875,1,10,iqlearn,CartPole-v1
4500,64.2,15.619218930535547,-431.114501953125,0.8577109575271606,-0.8577109575271606,-445.7760925292969,15.519301414489746,1.1199686527252197,102.5734634399414,1,10,iqlearn,CartPole-v1
5000,107.8,131.6584976368787,-90.63865661621094,0.2609270215034485,-0.2609270215034485,-123.27671813964844,32.898990631103516,0.2549937963485718,197.52517700195312,1,10,iqlearn,CartPole-v1
5500,53.4,8.935323161475472,-264.9016418457031,-1.3449811935424805,1.3449811935424805,-312.23431396484375,45.987701416015625,-2.0300512313842773,195.61581420898438,1,10,iqlearn,CartPole-v1
6000,49.8,7.573638491504594,-217.435302734375,-0.12268513441085815,0.12268513441085815,-293.22216796875,75.6641845703125,-2.720442771911621,268.48529052734375,1,10,iqlearn,CartPole-v1
