step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,18.6,2.009975124224178,0.07302558422088623,-0.07034006714820862,0.07034006714820862,0.0014452412724494934,0.0012402755673974752,0.03390290588140488,0.05139512941241264,2,10,iqlearn,CartPole-v1
500,194.3,199.2551379513211,-20.908905029296875,-0.24097345769405365,0.24097345769405365,-23.493459701538086,2.343581438064575,-0.675033450126648,14.913362503051758,2,10,iqlearn,CartPole-v1
1000,190.1,190.99761778619123,-26.985319137573242,0.1801745891571045,-0.1801745891571045,-30.272655487060547,3.4675097465515137,-1.5344984531402588,30.85159683227539,2,10,iqlearn,CartPole-v1
1500,220.9,196.04818285309355,-23.1560115814209,-0.19990673661231995,0.19990673661231995,-27.04949188232422,3.693572998046875,-2.9743528366088867,29.648075103759766,2,10,iqlearn,CartPole-v1
2000,306.0,194.7475288675058,-49.383018493652344,0.22325275838375092,-0.22325275838375092,-53.97802734375,4.818260192871094,-4.703253746032715,56.33408737182617,2,10,iqlearn,CartPole-v1
2500,321.8,203.10676995117618,-62.55518341064453,1.1807365417480469,-1.1807365417480469,-64.94962310791016,3.575173854827881,-5.312611103057861,53.7375602722168,2,10,iqlearn,CartPole-v1
3000,355.4,172.15644048364848,-12.964000701904297,-0.29623478651046753,0.29623478651046753,-18.879291534423828,5.619056701660156,-7.540248394012451,78.90974426269531,2,10,iqlearn,CartPole-v1
3500,384.1,168.30534750862788,-70.12071228027344,0.6014020442962646,-0.6014020442962646,-80.25595092773438,10.736642837524414,-8.478163719177246,88.300048828125,2,10,iqlearn,CartPole-v1
4000,415.8,165.95589775600024,-6.706506729125977,-0.17413273453712463,0.17413273453712463,-15.521673202514648,8.641034126281738,-7.778421401977539,97.14115142822266,2,10,iqlearn,CartPole-v1
4500,456.2,119.03764110566036,-57.280494689941406,0.07991655170917511,-0.07991655170917511,-68.64747619628906,11.446901321411133,-6.129496097564697,107.95006561279297,2,10,iqlearn,CartPole-v1
5000,362.5,168.82135528421753,-192.78814697265625,0.29529887437820435,-0.29529887437820435,-202.9566650390625,10.463821411132812,-7.805179595947266,93.84503173828125,2,10,iqlearn,CartPole-v1
5500,381.6,174.59106506347914,77.55064392089844,0.1296563446521759,-0.1296563446521759,65.12989807128906,12.550398826599121,-3.760345935821533,93.11761474609375,2,10,iqlearn,CartPole-v1
6000,424.3,151.45959857334893,45.44255065917969,0.3500618636608124,-0.3500618636608124,12.251716613769531,33.540897369384766,-4.3900346755981445,157.82290649414062,2,10,iqlearn,CartPole-v1
6500,388.0,171.14204626566786,40.106117248535156,-0.658711314201355,0.658711314201355,18.343151092529297,21.10425567626953,-7.252634048461914,182.8740997314453,2,10,iqlearn,CartPole-v1
7000,395.0,160.9111556107904,-30.15892791748047,-0.04921866953372955,0.04921866953372955,-90.9268798828125,60.71873474121094,-2.027665615081787,224.3171844482422,2,10,iqlearn,CartPole-v1
7500,396.9,158.3391612962504,6142.36181640625,-10.281262397766113,10.281262397766113,-266.61895751953125,6398.69970703125,-15.075960159301758,2740.650634765625,2,10,iqlearn,CartPole-v1
8000,397.5,157.71192091912394,-50.67475891113281,-0.2660198509693146,0.2660198509693146,-76.13158416748047,25.19080352783203,-5.45719051361084,226.36746215820312,2,10,iqlearn,CartPole-v1
8500,399.2,155.51771603261153,9534.779296875,-9.957222938537598,9.957222938537598,-162.5757293701172,9687.3974609375,-16.11905288696289,3356.268310546875,2,10,iqlearn,CartPole-v1
