step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.4,0.8,0.09135393798351288,-0.09072048962116241,0.09072048962116241,-0.0019950999412685633,0.0026285513304173946,-0.07196044921875,0.13377268612384796,0,1,iqlearn,CartPole-v1
500,104.4,40.54922933916254,-34.176788330078125,0.09444665908813477,-0.09444665908813477,-36.31678771972656,2.2344462871551514,-0.25140270590782166,27.37058448791504,0,1,iqlearn,CartPole-v1
1000,60.4,15.265647709809107,-42.627166748046875,0.7794457674026489,-0.7794457674026489,-55.06626510620117,13.21854305267334,-0.368876188993454,84.59246063232422,0,1,iqlearn,CartPole-v1
1500,86.2,7.909487973314076,-63.60588073730469,0.7281817197799683,-0.7281817197799683,-79.92552947998047,17.04783058166504,-0.35998308658599854,109.1185073852539,0,1,iqlearn,CartPole-v1
2000,76.4,7.964923100695951,-162.02166748046875,1.6832422018051147,-1.6832422018051147,-186.75718688964844,26.41876983642578,1.506607174873352,110.78076934814453,0,1,iqlearn,CartPole-v1
2500,75.9,8.572630868059116,-256.5130310058594,-0.35093867778778076,0.35093867778778076,-275.3405456542969,18.476558685302734,2.9483814239501953,122.84135437011719,0,1,iqlearn,CartPole-v1
3000,83.6,7.761443164772902,-503.5708312988281,0.43677952885627747,-0.43677952885627747,-526.1961669921875,23.062089920043945,6.264515399932861,154.52684020996094,0,1,iqlearn,CartPole-v1
3500,83.2,8.109253973085316,-1013.1817016601562,1.229614019393921,-1.229614019393921,-1039.312255859375,27.360183715820312,13.162660598754883,193.5887908935547,0,1,iqlearn,CartPole-v1
4000,80.8,7.807688518377254,-490.48077392578125,-0.12069594860076904,0.12069594860076904,-571.6918334960938,81.09040832519531,15.446738243103027,236.67832946777344,0,1,iqlearn,CartPole-v1
4500,89.2,13.332666649999169,-1822.725830078125,1.4634495973587036,-1.4634495973587036,-1896.0380859375,74.77578735351562,30.184049606323242,187.03143310546875,0,1,iqlearn,CartPole-v1
