step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.6,0.4898979485566356,0.12078829854726791,-0.09996049851179123,0.09996049851179123,0.01742096059024334,0.0034068389795720577,0.10831496119499207,0.19344130158424377,1,1,iqlearn,CartPole-v1
500,73.3,14.58115221784616,-34.83258819580078,-0.05261671543121338,0.05261671543121338,-38.155155181884766,3.269948959350586,0.0084037184715271,10.198055267333984,1,1,iqlearn,CartPole-v1
1000,163.8,73.55514937786477,-48.48755645751953,-0.9747591614723206,0.9747591614723206,-56.767539978027344,7.30522346496582,-0.8402602076530457,38.007869720458984,1,1,iqlearn,CartPole-v1
1500,59.9,20.378665314490057,-195.99441528320312,0.08024078607559204,-0.08024078607559204,-209.04824829101562,13.134078979492188,-0.760998010635376,78.23412322998047,1,1,iqlearn,CartPole-v1
2000,87.9,34.08357375628324,-507.5293884277344,0.17689873278141022,-0.17689873278141022,-535.185302734375,27.83278465270996,0.08061257004737854,125.27066802978516,1,1,iqlearn,CartPole-v1
2500,86.5,13.26838347350573,-719.8928833007812,0.29438677430152893,-0.29438677430152893,-759.8007202148438,40.20221710205078,-0.2548561096191406,164.96812438964844,1,1,iqlearn,CartPole-v1
3000,74.0,25.25866188063018,-799.09423828125,2.545278549194336,-2.545278549194336,-845.4193725585938,48.87043762207031,7.562345027923584,215.29220581054688,1,1,iqlearn,CartPole-v1
3500,184.9,168.23819423662394,-542.4241943359375,-0.32566624879837036,0.32566624879837036,-632.9931640625,90.2432632446289,1.725530743598938,292.8385925292969,1,1,iqlearn,CartPole-v1
4000,94.2,84.10564784840552,-982.4179077148438,0.31986522674560547,-0.31986522674560547,-1052.6583251953125,70.56022644042969,3.5830044746398926,340.6476745605469,1,1,iqlearn,CartPole-v1
4500,41.5,7.5,-880.27978515625,-0.10256153345108032,0.10256153345108032,-951.5245361328125,71.14219665527344,14.075136184692383,391.0191650390625,1,1,iqlearn,CartPole-v1
5000,26.3,7.057619995437555,-894.628173828125,4.069523811340332,-4.069523811340332,-1084.810302734375,194.25173950195312,2.255361557006836,453.36407470703125,1,1,iqlearn,CartPole-v1
5500,22.7,7.197916365171244,-1678.9052734375,-1.3062711954116821,1.3062711954116821,-1745.352783203125,65.14118194580078,22.629772186279297,534.5031127929688,1,1,iqlearn,CartPole-v1
6000,19.8,6.615134163416491,-1127.662353515625,3.380237340927124,-3.380237340927124,-1406.56396484375,282.2818908691406,51.11569595336914,627.0404663085938,1,1,iqlearn,CartPole-v1
6500,10.5,1.857417562100671,-1060.3355712890625,0.9942748546600342,-0.9942748546600342,-1266.217041015625,206.87574768066406,67.00715637207031,679.8654174804688,1,1,iqlearn,CartPole-v1
7000,11.9,1.9209372712298547,-1222.4808349609375,1.2515372037887573,-1.2515372037887573,-1495.0283203125,273.7990417480469,103.54617309570312,676.6356201171875,1,1,iqlearn,CartPole-v1
7500,12.5,1.3601470508735443,-1346.48095703125,-2.810450553894043,2.810450553894043,-1566.695556640625,217.40411376953125,159.13861083984375,751.4570922851562,1,1,iqlearn,CartPole-v1
